signal_id,road_id,county,district,maintaining_agency,signal_description,controller_design,signal_nc,latitude,longitude,source_name,source_portal,query_endpoint
6863,87120000,Miami-Dade,6,MIAMI-DADE,SW 142 AVE,N/A,N/A,25.760893,-80.424876,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
2259,87240000,Miami-Dade,6,MIAMI-DADE,SW 16 ST,N/A,N/A,25.75774,-80.238485,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
4401,87001000,Miami-Dade,6,MIAMI-DADE,OFF RAMP TPKE NORTH,N/A,N/A,25.686233,-80.386756,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
4397,87030000,Miami-Dade,6,MIAMI-DADE,NE 50 TER,N/A,N/A,25.822132,-80.187179,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
3425,87040101,Miami-Dade,6,MIAMI-DADE,NW 5 ST,N/A,N/A,25.778728,-80.199547,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
6459,87190000,Miami-Dade,6,MIAMI-DADE,NE 123 ST,N/A,N/A,25.888242,-80.189347,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
2172,87054000,Miami-Dade,6,MIAMI-DADE,N/A,N/A,N/A,25.750359,-80.23593,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
3025,87020000,Miami-Dade,6,MIAMI-DADE,SW 312 ST,N/A,N/A,25.477246,-80.465005,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
3432,87060000,Miami-Dade,6,MIAMI-DADE,5330 BLK,N/A,N/A,25.83205,-80.121742,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
2362,87000172,Miami-Dade,6,MIAMI-DADE,SR-5/BISCAYNE BLVD,N/A,02,25.787027,-80.189118,FDOT Traffic Signal Locations TDA,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0,https://services1.arcgis.com/O1JpcwDW8sjYuddV/arcgis/rest/services/Traffic_Signal_Locations_TDA/FeatureServer/0/query?where=COUNTY%3D%27Miami-Dade%27&outFields=SIGNALID%2CCOUNTY%2CRDWYID%2CDISTRICT%2CMAINTAGC%2CSDESTRET%2CCNTLRDES%2CSIGNALNC&returnGeometry=true&outSR=4326&f=json
