county_name,county_fips,femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id,source_name,source_portal,query_endpoint
Miami-Dade,86,DR-4680-FL,4680,FL,DR,2022-12-13 00:00:00+00:00,2023,Hurricane,HURRICANE NICOLE,0,0,1,1,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,,0,12,86,99086,Miami-Dade (County),22104,2023-02-13T00:00:00.000Z,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,e4ee46c864ffe0b4e391ab2abc61b5ed364ec950,b05725f5-7229-450b-b661-35cafefa6e0b,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,DR-4673-FL,4673,FL,DR,2022-09-29 00:00:00+00:00,2022,Hurricane,HURRICANE IAN,0,0,1,1,2022-09-23T00:00:00.000Z,2022-11-04T00:00:00.000Z,,0,12,86,99086,Miami-Dade (County),22088,2023-01-12T00:00:00.000Z,2022092201,4,,2024-08-27T18:22:14.800Z,107b6345f4327fdea181f3ff362342c1f7a6e14b,330c31e8-8577-4ba2-aa02-24dc891cbcbd,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,DR-4337-FL,4337,FL,DR,2017-09-10 00:00:00+00:00,2017,Hurricane,HURRICANE IRMA,1,0,1,1,2017-09-04T00:00:00.000Z,2017-10-18T00:00:00.000Z,,0,12,86,99086,Miami-Dade (County),17103,2017-11-24T00:00:00.000Z,2017083101,4,,2024-08-27T18:22:14.800Z,1658e24da0be5e83ebe9c2b0259855dbdf73673d,fd74750e-51ac-471e-8f68-b75ab954daae,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,EM-3419-FL,3419,FL,EM,2019-08-30 00:00:00+00:00,2019,Hurricane,HURRICANE DORIAN ,0,0,1,0,2019-08-28T00:00:00.000Z,2019-09-09T00:00:00.000Z,2021-09-28T00:00:00.000Z,0,12,86,99086,Miami-Dade (County),19072,,2019082401,4,,2024-10-11T19:22:05.834Z,2f24088793df423dfafa32f4026cd8e6bd0addfc,33b8b76f-4dc5-42f1-8c3d-bbb200823765,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,EM-3587-FL,3587,FL,EM,2022-11-08 00:00:00+00:00,2023,Tropical Storm,TROPICAL STORM NICOLE,0,0,1,0,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,2023-02-21T00:00:00.000Z,0,12,86,99086,Miami-Dade (County),22101,,2022110701,4,"4,H",2024-08-27T18:22:14.800Z,335aab41e42d4d574ea0de28872ff2fc3aaf9801,5ca99360-4d7f-43d1-89b2-580e935a1ae9,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,EM-3584-FL,3584,FL,EM,2022-09-24 00:00:00+00:00,2022,Hurricane,TROPICAL STORM IAN,0,0,1,0,2022-09-23T00:00:00.000Z,2022-11-04T00:00:00.000Z,2023-02-22T00:00:00.000Z,0,12,86,99086,Miami-Dade (County),22087,,2022092201,4,,2024-08-27T18:22:14.800Z,d1bf7cc33319ac8309394b6d86e531288827cfd4,5b29724e-f63a-4274-8835-964ce4e12903,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,EM-3561-FL,3561,FL,EM,2021-07-04 00:00:00+00:00,2021,Severe Storm,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:00:00.000Z,2021-07-08T00:00:00.000Z,,0,12,86,99086,Miami-Dade (County),21049,,2021070101,4,,2024-08-27T18:22:14.800Z,f78b15f1ac143b6957462a8a05497eb843c8d366,f8d347e3-536f-4a40-8faa-ab271358fde7,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,EM-3533-FL,3533,FL,EM,2020-08-01 00:00:00+00:00,2020,Hurricane,HURRICANE ISAIAS,0,0,1,0,2020-07-31T00:00:00.000Z,2020-08-04T00:00:00.000Z,,0,12,86,99086,Miami-Dade (County),20219,,2020072601,4,,2024-08-27T18:22:14.800Z,eb436f75af6606c1806e4850b6f28eda6b2e206f,47f90614-3974-4645-b347-602e243417ab,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,EM-3385-FL,3385,FL,EM,2017-09-05 00:00:00+00:00,2017,Hurricane,HURRICANE IRMA,0,0,1,0,2017-09-04T00:00:00.000Z,2017-10-18T00:00:00.000Z,2017-12-18T00:00:00.000Z,0,12,86,99086,Miami-Dade (County),17094,,2017083101,4,,2024-08-27T18:22:14.800Z,a3884bda027cc34fea52d4e7ae655020900df827,e5afcf1c-efce-405e-9996-df7cae66a902,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
Miami-Dade,86,EM-3377-FL,3377,FL,EM,2016-10-06 00:00:00+00:00,2017,Hurricane,HURRICANE MATTHEW,0,0,1,0,2016-10-03T00:00:00.000Z,2016-10-19T00:00:00.000Z,2019-07-29T00:00:00.000Z,0,12,86,99086,Miami-Dade (County),16098,,2016092802,4,,2024-08-27T18:22:14.800Z,484e04583daa30efb4b9c634d6d27fc783fb0362,062d4e27-5c73-41da-9f64-11c141d79e0f,FEMA OpenFEMA Disaster Declarations Summaries v2,https://www.fema.gov/openfema-data-page/disaster-declarations-summaries-v2,https://www.fema.gov/api/open/v2/disasterDeclarationsSummaries.csv — filtered state=FL
