county_name,county_fips,YEAR,MONTH_NAME,EVENT_TYPE,STATE,BEGIN_DATE_TIME,END_DATE_TIME,MAGNITUDE,DAMAGE_PROPERTY,EPISODE_ID,EVENT_ID,source_name,source_portal,query_endpoint
Miami-Dade,86,2014,February,Thunderstorm Wind,FLORIDA,12-FEB-14 16:40:00,12-FEB-14 16:40:00,58.0,0.00K,82270,495129,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2014,June,Thunderstorm Wind,FLORIDA,20-JUN-14 14:07:00,20-JUN-14 14:07:00,56.0,0.00K,86812,524198,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2014,June,Thunderstorm Wind,FLORIDA,13-JUN-14 15:08:00,13-JUN-14 15:08:00,54.0,0.00K,86786,524178,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2014,February,Thunderstorm Wind,FLORIDA,12-FEB-14 16:39:00,12-FEB-14 16:39:00,61.0,0.00K,82270,495130,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2014,April,Thunderstorm Wind,FLORIDA,19-APR-14 05:17:00,19-APR-14 05:17:00,53.0,0.00K,83223,502087,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2014,June,Thunderstorm Wind,FLORIDA,13-JUN-14 15:10:00,13-JUN-14 15:10:00,52.0,0.00K,86786,524179,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,March,Thunderstorm Wind,FLORIDA,27-MAR-15 17:49:00,27-MAR-15 17:49:00,43.0,0.00K,94524,568284,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,June,Thunderstorm Wind,FLORIDA,29-JUN-15 15:58:00,29-JUN-15 15:58:00,52.0,0.00K,98105,589914,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,June,Thunderstorm Wind,FLORIDA,29-JUN-15 15:58:00,29-JUN-15 15:58:00,52.0,,98105,589915,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,June,Thunderstorm Wind,FLORIDA,29-JUN-15 15:38:00,29-JUN-15 15:38:00,52.0,0.00K,98105,589918,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,February,Flash Flood,FLORIDA,28-FEB-15 14:00:00,28-FEB-15 17:00:00,,3.00K,93336,565140,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,April,Thunderstorm Wind,FLORIDA,27-APR-15 17:48:00,27-APR-15 17:48:00,50.0,0.00K,95487,573706,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,September,Thunderstorm Wind,FLORIDA,05-SEP-15 13:51:00,05-SEP-15 13:51:00,52.0,0.00K,99258,596070,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,September,Thunderstorm Wind,FLORIDA,05-SEP-15 13:51:00,05-SEP-15 13:51:00,52.0,0.00K,99258,596074,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,September,Thunderstorm Wind,FLORIDA,05-SEP-15 13:52:00,05-SEP-15 13:52:00,52.0,0.00K,99258,596073,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,September,Thunderstorm Wind,FLORIDA,05-SEP-15 13:50:00,05-SEP-15 13:50:00,52.0,0.00K,99258,596075,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,December,Flash Flood,FLORIDA,04-DEC-15 06:00:00,04-DEC-15 16:00:00,,10.00K,101249,605711,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2015,December,Flash Flood,FLORIDA,05-DEC-15 11:00:00,05-DEC-15 22:00:00,,30.00K,101249,605706,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2016,January,Thunderstorm Wind,FLORIDA,15-JAN-16 15:33:00,15-JAN-16 15:33:00,52.0,,102117,610440,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2016,June,Thunderstorm Wind,FLORIDA,18-JUN-16 17:13:00,18-JUN-16 17:13:00,52.0,,107069,642374,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2016,June,Thunderstorm Wind,FLORIDA,18-JUN-16 17:12:00,18-JUN-16 17:12:00,52.0,,107069,642373,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2016,June,Thunderstorm Wind,FLORIDA,18-JUN-16 17:03:00,18-JUN-16 17:06:00,52.0,,107069,642371,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2016,September,Thunderstorm Wind,FLORIDA,20-SEP-16 12:49:00,20-SEP-16 12:49:00,50.0,,109580,655778,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2016,July,Thunderstorm Wind,FLORIDA,18-JUL-16 00:20:00,18-JUL-16 00:20:00,45.0,5.00K,107064,642343,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2017,June,Flash Flood,FLORIDA,02-JUN-17 08:40:00,02-JUN-17 10:30:00,,10.00K,118041,710240,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2017,January,Thunderstorm Wind,FLORIDA,23-JAN-17 04:20:00,23-JAN-17 04:20:00,56.0,,112797,673865,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2017,January,Thunderstorm Wind,FLORIDA,23-JAN-17 03:55:00,23-JAN-17 03:55:00,61.0,,112797,673862,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2017,January,Thunderstorm Wind,FLORIDA,23-JAN-17 03:46:00,23-JAN-17 03:46:00,65.0,,112797,673864,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2017,January,Thunderstorm Wind,FLORIDA,23-JAN-17 03:10:00,23-JAN-17 03:10:00,52.0,,112797,673868,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2017,August,Flash Flood,FLORIDA,02-AUG-17 14:50:00,02-AUG-17 18:00:00,,1.00M,119837,718505,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2019,January,Thunderstorm Wind,FLORIDA,27-JAN-19 19:53:00,27-JAN-19 19:55:00,52.0,,134322,805239,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2019,May,Thunderstorm Wind,FLORIDA,06-MAY-19 14:17:00,06-MAY-19 14:17:00,52.0,8.00K,137555,826359,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2019,May,Thunderstorm Wind,FLORIDA,06-MAY-19 13:49:00,06-MAY-19 13:49:00,43.0,30.00K,137555,826367,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2019,May,Thunderstorm Wind,FLORIDA,06-MAY-19 14:08:00,06-MAY-19 14:10:00,52.0,10.00K,137555,826362,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
Miami-Dade,86,2019,May,Thunderstorm Wind,FLORIDA,05-MAY-19 17:55:00,05-MAY-19 17:55:00,50.0,1.00K,137554,826334,NOAA Storm Events Database,https://www.ncdc.noaa.gov/stormevents/,"https://www.ncdc.noaa.gov/stormevents/ftp.jsp — downloaded StormEvents_details bulk CSV, filtered STATE=FLORIDA"
